"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @costa_rui: Mais estradas recuperadas. https://t.co/SJrqnQUJgJ",FALSE,0,NA,2017-02-08 23:11:54,FALSE,NA,"829467825030979584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",3,TRUE,FALSE,NA,NA
"RT @costa_rui: #Bahiafarma é o primeiro laboratório público brasileiro a fabricar testes rápidos para #dengue. https://t.co/i7JzpkrEoq",FALSE,0,NA,2017-02-08 23:11:23,FALSE,NA,"829467692805586945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",10,TRUE,FALSE,NA,NA
"RT @costa_rui: Investimento de R$28 milhões em assistência técnica e extensão rural beneficia mais de sete mil famílias. Veja +: https://t.…",FALSE,0,NA,2017-02-08 23:10:54,FALSE,NA,"829467572777209857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",14,TRUE,FALSE,NA,NA
"RT @costa_rui: Minha quarta-feira começa no Centro Educacional Carneiro Ribeiro, a conhecida Escola Parque. Participo da aula inaugural de…",FALSE,0,NA,2017-02-08 23:10:46,FALSE,NA,"829467536400011265",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Descartes_News",7,TRUE,FALSE,NA,NA
"RT @costa_rui: Educação precisa de infraestrutura melhor, material didático, tecnologia, mas, acima de tudo, precisa do envolvimento e apoi…",FALSE,0,NA,2017-02-08 23:10:33,FALSE,NA,"829467483425869826",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",10,TRUE,FALSE,NA,NA
"RT @costa_rui: Ao longo desses 2 anos, visitei + de 240 escolas e vi muitas iniciativas culturais e artísticas. Vamos ampliar isso com as #…",FALSE,0,NA,2017-02-08 23:10:24,FALSE,NA,"829467446406938624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",9,TRUE,FALSE,NA,NA
"RT @costa_rui: Vamos lançar as #EscolasCulturais em março, o projeto que vai transformar 80 escolas e tb as cidades onde estão instaladas.…",FALSE,0,NA,2017-02-08 23:10:19,FALSE,NA,"829467423720034305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",5,TRUE,FALSE,NA,NA
"RT @costa_rui: A escola é do nosso povo, da nossa sociedade. Precisamos contagiar corações e mentes para apoiar a escola! #AbraceUmaEscola",FALSE,0,NA,2017-02-08 23:10:06,FALSE,NA,"829467368325791744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",5,TRUE,FALSE,NA,NA
"RT @costa_rui: Mais uma novidade para transformar a educação na #Bahia https://t.co/HlBkEfUAts",FALSE,0,NA,2017-02-08 23:09:59,FALSE,NA,"829467338911207425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",5,TRUE,FALSE,NA,NA
"RT @educacaobahia: #AulaInaugural Governador @costa_rui destaca a importância do Coordenador Pedagógico e fala sobre os projetos para a #Ed…",FALSE,0,NA,2017-02-08 23:09:49,FALSE,NA,"829467298373189635",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",6,TRUE,FALSE,NA,NA
"RT @costa_rui: Comecem a correria agora... nada de deixar pra estudar no 2° semestre. Vamos lá, galera! https://t.co/qsSvXtSMJu",FALSE,0,NA,2017-02-08 23:09:42,FALSE,NA,"829467271160557568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",5,TRUE,FALSE,NA,NA
"RT @costa_rui: Nivea emocionou a todos hoje pela manhã na #aulainaugural. ������������������ https://t.co/DknZMKTyhU",FALSE,0,NA,2017-02-08 23:09:27,FALSE,NA,"829467208581599232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inemabahia",14,TRUE,FALSE,NA,NA
